成交日期,成交时间,证券代码,证券名称,操作,成交数量,成交编号,成交均价,成交金额,余额,发生金额,手续费,印花税,其他杂费,本次金额,合同编号,交易市场,定位串,市场代码,
20260401,09:55:04,600528,中铁工业,证券卖出,20300,17304998,8.7010,176628.000,0,176475.340,52.990,88.330,11.340,179418.480,1390001462,上海Ａ股,20260401!490124,2,
20260402,10:08:10,002082,万邦德,证券卖出,5300,104000023705926,33.3000,176490.000,0,176337.450,52.950,88.280,11.320,179625.830,CL10001446,深圳Ａ股,20260402!496210,1,
20260401,10:37:21,002082,万邦德,证券买入,5300,101000035070368,33.2200,176066.000,5300,-176130.100,52.820,0.000,11.280,3288.380,CL10003038,深圳Ａ股,20260401!490125,1,
20250822,14:38:07,002049,紫光国微,证券卖出,200,103000069171273,82.6400,16528.000,0,16470.570,48.110,8.260,1.060,112734.970,CL10007797,深圳Ａ股,20250822!538352,1,
20260519,13:26:07,300395,菲利华,证券卖出,1200,104000058556457,129.9520,155942.000,0,155807.250,46.780,77.970,10.000,217683.890,CL10005278,深圳Ａ股,20260519!515723,1,
20250820,13:00:00,002049,紫光国微,证券买入,200,103000047261485,79.6400,15928.000,200,-15975.390,46.370,0.000,1.020,84884.380,CL10006424,深圳Ａ股,20250820!551063,1,
20260611,13:57:20,300136,信维通信,证券买入,1500,102000067169722,100.0000,150000.000,1500,-150054.600,45.000,0.000,9.600,1397.420,CL10006454,深圳Ａ股,20260611!561835,1,
20260512,10:23:09,300395,菲利华,证券买入,1100,103000037225904,136.2190,149841.000,1100,-149895.550,44.950,0.000,9.600,6880.580,CL10003823,深圳Ａ股,20260512!671619,1,
20260615,13:07:21,300136,信维通信,证券卖出,1500,102000056050553,95.9210,143881.000,0,143756.660,43.160,71.950,9.230,145154.080,CL10005004,深圳Ａ股,20260615!584681,1,
20260701,13:37:06,002171,楚江新材,证券卖出,10300,102000075743085,13.6200,140286.000,0,140164.780,42.090,70.140,8.990,140868.690,CL10007472,深圳Ａ股,20260701!725144,1,
20260701,13:37:26,002446,盛路通信,证券买入,12300,103000077346789,11.3900,140097.000,12300,-140148.010,42.030,0.000,8.980,720.680,CL10007476,深圳Ａ股,20260701!725145,1,
20260702,14:03:06,002456,欧菲光,证券买入,14100,105000077379349,9.6500,136065.000,14100,-136114.540,40.820,0.000,8.720,280.790,CL10007723,深圳Ａ股,20260702!683728,1,
20260702,14:02:19,002446,盛路通信,证券卖出,12300,101000083959571,11.0400,135792.000,0,135674.650,40.740,67.900,8.710,136395.330,CL10007708,深圳Ａ股,20260702!683727,1,
20260528,10:49:51,002036,联创电子,证券卖出,13700,102000041698342,9.6200,131794.000,0,131680.120,39.540,65.900,8.440,131743.500,CL10003648,深圳Ａ股,20260528!513405,1,
20260528,10:50:36,003035,南网能源,证券买入,18000,103000040298023,7.3100,131580.000,18000,-131627.910,39.470,0.000,8.440,115.590,CL10003661,深圳Ａ股,20260528!513406,1,
20260706,13:41:51,300768,迪普科技,证券买入,8500,103000072919830,15.0700,128095.000,8500,-128141.650,38.430,0.000,8.220,56.530,CL10006328,深圳Ａ股,20260706!573273,1,
20260706,13:41:39,002456,欧菲光,证券卖出,14100,102000073902798,9.0800,128028.000,0,127917.390,38.410,63.990,8.210,128198.180,CL10006323,深圳Ａ股,20260706!573272,1,
20260605,13:00:11,603158,腾龙股份,证券买入,7500,47475474,16.6550,124910.000,7500,-124955.480,37.470,0.000,8.010,631.360,1390003560,上海Ａ股,20260605!558482,2,
20260608,10:14:54,603158,腾龙股份,证券卖出,7500,29195996,15.9000,119250.000,0,119146.910,35.780,59.670,7.640,120701.290,1390002698,上海Ａ股,20260608!497000,2,
20260610,11:04:01,301069,凯盛新材,证券卖出,5600,105000045309478,21.2100,118776.000,0,118673.450,35.630,59.380,7.540,119319.410,CL10003945,深圳Ａ股,20260610!579754,1,
20260610,13:35:57,300185,通裕重工,证券买入,41500,102000062508015,2.8600,118690.000,41500,-118733.260,35.610,0.000,7.650,586.150,CL10005036,深圳Ａ股,20260610!579755,1,
20260609,11:05:54,600936,北投科技,证券卖出,21000,38511960,5.4500,114450.000,0,114351.100,34.340,57.230,7.330,114710.480,1390002533,上海Ａ股,20260609!502478,2,
20260611,11:27:53,300185,通裕重工,证券卖出,41500,103000048181986,2.7500,114125.000,0,114026.300,34.240,57.100,7.360,121417.990,CL10005119,深圳Ａ股,20260611!561833,1,
20260609,13:32:05,301069,凯盛新材,证券买入,5600,102000060856448,20.3610,114023.000,5600,-114064.520,34.210,0.000,7.310,645.960,CL10004520,深圳Ａ股,20260609!502479,1,
20260520,09:32:42,002897,意华股份,证券卖出,1500,102000005847722,72.9000,109350.000,1500,109255.500,32.810,54.680,7.010,110364.330,CL10000447,深圳Ａ股,20260520!618195,1,
20260520,11:29:36,002192,融捷股份,证券买入,1200,103000055515826,90.5200,108624.000,1200,-108663.550,32.590,0.000,6.960,1700.780,CL10004791,深圳Ａ股,20260520!618196,1,
20260304,10:43:29,300164,通源石油,证券卖出,4700,101000041200984,23.0500,108335.000,0,108241.390,32.500,54.170,6.940,109536.840,CL10003475,深圳Ａ股,20260304!561851,1,
20260511,14:09:54,002640,跨境通,证券买入,24800,104000077747688,4.3500,107880.000,24800,-107919.280,32.360,0.000,6.920,411.390,CL10007262,深圳Ａ股,20260511!622977,1,
20260105,09:33:38,601606,长城军工,证券买入,2200,4983028,48.9600,107712.000,2200,-107751.220,32.310,0.000,6.910,2700.850,1390000189,上海Ａ股,20260105!537636,2,
20260106,09:44:22,601606,长城军工,证券卖出,2200,12053034,48.7100,107162.000,0,107069.370,32.150,53.600,6.880,150037.460,1390001294,上海Ａ股,20260106!584331,2,
20260520,13:11:43,002897,意华股份,证券卖出,1500,102000061957347,71.0600,106590.000,0,106497.920,31.980,53.300,6.800,108198.700,CL10005260,深圳Ａ股,20260520!618197,1,
20260421,10:13:55,603688,石英股份,证券卖出,2000,25321876,53.3000,106600.000,0,106507.880,31.980,53.300,6.840,184996.800,1390002121,上海Ａ股,20260421!454467,2,
20260108,14:15:48,600865,百大集团,证券买入,6100,59142604,17.4000,106140.000,6100,-106178.640,31.840,0.000,6.800,704.240,1390006071,上海Ａ股,20260108!515735,2,
20260521,09:52:41,300397,天和防务,证券卖出,7300,101000023373026,14.3830,104998.000,0,104907.270,31.500,52.500,6.730,107385.820,CL10002297,深圳Ａ股,20260521!749825,1,
20260113,13:34:35,600693,东百集团,证券买入,5000,63595126,20.6000,103000.000,5000,-103037.490,30.900,0.000,6.590,572.740,1390005031,上海Ａ股,20260113!678228,2,
20260113,11:22:50,600865,百大集团,证券卖出,6100,52669596,16.8350,102691.000,0,102602.260,30.810,51.350,6.580,103610.230,1390004226,上海Ａ股,20260113!678227,2,
20260105,09:40:16,603259,药明康德,证券卖出,1100,10144881,92.8700,102157.000,0,102068.730,30.650,51.080,6.540,104769.580,1390000785,上海Ａ股,20260105!537637,2,
20260303,09:25:00,300164,通源石油,证券买入,4700,102000000882925,21.6900,101943.000,4700,-101980.120,30.580,0.000,6.540,68587.610,CL10000035,深圳Ａ股,20260303!593729,1,
20260525,10:26:43,002036,联创电子,证券买入,9400,103000038194621,10.6800,100392.000,9400,-100428.550,30.120,0.000,6.430,827.970,CL10003578,深圳Ａ股,20260525!662193,1,
20251231,14:43:30,603259,药明康德,证券买入,1100,50388398,90.8200,99902.000,1100,-99938.370,29.970,0.000,6.400,110452.070,1390003484,上海Ａ股,20251231!432797,2,
20260525,10:25:18,603688,石英股份,证券卖出,1300,32818075,73.2300,95199.000,1400,95116.740,28.560,47.600,6.100,101256.520,1390002296,上海Ａ股,20260525!662192,2,
20260602,14:54:37,603399,永杉锂业,证券卖出,5500,75930857,17.0400,93720.000,0,93639.010,28.120,46.860,6.010,94357.990,1390004492,上海Ａ股,20260602!609607,2,
20251027,13:40:29,600580,卧龙电驱,证券卖出,1900,49134344,49.2000,93480.000,0,93399.230,28.040,46.740,5.990,200055.550,1390004759,上海Ａ股,20251027!542965,2,
20260522,09:32:29,002192,融捷股份,证券卖出,1100,104000006241566,84.7100,93181.000,600,93100.490,27.950,46.590,5.970,100146.100,CL10000642,深圳Ａ股,20260522!636079,1,
20260402,10:50:05,603477,巨星农牧,证券买入,5400,30661606,17.0300,91962.000,5400,-91995.490,27.590,0.000,5.900,70.460,1390002138,上海Ａ股,20260402!496212,2,
20260421,11:00:31,600151,航天机电,证券买入,6000,36017761,15.1700,91020.000,6000,-91053.130,27.310,0.000,5.820,93943.670,1390002848,上海Ａ股,20260421!454468,2,
20260403,10:50:56,600056,中国医药,证券买入,7600,27829906,11.5900,88084.000,7600,-88116.070,26.430,0.000,5.640,88999.310,1390001526,上海Ａ股,20260403!439740,2,
20260107,13:27:08,601288,农业银行,证券买入,11700,50519154,7.5100,87867.000,11700,-87899.000,26.360,0.000,5.640,45053.590,1390003686,上海Ａ股,20260107!613259,2,
20260114,10:50:12,600693,东百集团,证券卖出,5000,40771453,17.5600,87800.000,0,87724.100,26.340,43.900,5.660,136303.330,1390003343,上海Ａ股,20260114!820437,2,
20260402,10:21:40,000762,西藏矿业,证券买入,2800,103000028908580,31.2600,87528.000,2800,-87559.880,26.260,0.000,5.620,92065.950,CL10002415,深圳Ａ股,20260402!496211,1,
20260128,13:29:46,301277,新天地,证券买入,6800,103000067485315,12.6800,86227.000,9100,-86258.400,25.870,0.000,5.530,86.220,CL10006637,深圳Ａ股,20260128!555841,1,
20260514,10:26:34,300395,菲利华,证券卖出,600,101000042345648,143.5500,86130.000,0,86055.570,25.840,43.070,5.520,87881.960,CL10004172,深圳Ａ股,20260514!595803,1,
20260422,10:23:13,603688,石英股份,证券买入,1600,27080925,53.4000,85440.000,1600,-85471.100,25.630,0.000,5.470,8010.440,1390002106,上海Ａ股,20260422!425272,2,
20260514,10:31:07,603278,大业股份,证券买入,5200,39041598,16.2200,84344.000,5200,-84374.710,25.300,0.000,5.410,2730.240,1390003154,上海Ａ股,20260514!595805,2,
20260416,09:36:15,600488,津药药业,证券买入,13300,6589630,6.3100,83923.000,13300,-83953.560,25.180,0.000,5.380,147.820,1390000180,上海Ａ股,20260416!432933,2,
20260415,14:55:17,600343,航天动力,证券卖出,2400,64066022,34.8650,83676.000,0,83603.690,25.100,41.850,5.360,84101.380,1390004778,上海Ａ股,20260415!475803,2,
20260514,14:36:30,002575,群兴玩具,证券卖出,10900,104000087822909,7.6600,83494.000,0,83421.830,25.050,41.750,5.370,83437.600,CL10007665,深圳Ａ股,20260514!595808,1,
20260428,09:48:59,600151,航天机电,证券卖出,6000,16459121,13.8900,83341.000,0,83268.960,25.000,41.670,5.370,85996.350,1390001237,上海Ａ股,20260428!501608,2,
20260515,09:49:25,603278,大业股份,证券卖出,5200,19075735,15.9600,82992.000,0,82920.280,24.900,41.500,5.320,85128.680,1390001560,上海Ａ股,20260515!703303,2,
20260313,13:31:48,600096,云天化,证券买入,1900,48773923,43.5800,82802.000,3800,-82832.150,24.840,0.000,5.310,771.740,1390003625,上海Ａ股,20260313!532917,2,
20251126,10:53:04,601138,工业富联,证券卖出,1400,24791482,58.4700,81858.000,1000,81787.260,24.560,40.930,5.250,168515.530,1390001717,上海Ａ股,20251126!400316,2,
20260513,11:19:21,002575,群兴玩具,证券买入,10900,101000052339405,7.3900,80551.000,10900,-80580.330,24.170,0.000,5.160,1826.390,CL10006822,深圳Ａ股,20260513!591214,1,
20260414,11:16:52,600056,中国医药,证券卖出,7600,35754089,10.6000,80560.000,0,80490.380,24.170,40.280,5.170,80749.740,1390003214,上海Ａ股,20260414!413954,2,
20260313,13:31:25,600759,洲际油气,证券卖出,11500,48698215,7.0000,80500.000,0,80430.430,24.150,40.250,5.170,83603.890,1390003622,上海Ａ股,20260313!532916,2,
20260313,13:14:32,600759,洲际油气,证券卖出,11400,45505563,7.0300,80142.000,11500,80072.740,24.040,40.080,5.140,82060.180,1390003374,上海Ａ股,20260313!532914,2,
20260417,10:29:15,600488,津药药业,证券卖出,13300,27221687,5.9600,79268.000,0,79199.520,23.780,39.650,5.050,79347.340,1390002172,上海Ａ股,20260417!408347,2,
20260313,13:14:49,600096,云天化,证券买入,1800,45555881,43.8100,78858.000,1900,-78886.720,23.660,0.000,5.060,3173.460,1390003384,上海Ａ股,20260313!532915,2,
20260417,10:58:55,603933,睿能科技,证券买入,3200,33133294,24.5000,78400.000,3200,-78428.540,23.520,0.000,5.020,918.800,1390002560,上海Ａ股,20260417!408348,2,
20260414,14:52:36,600343,航天动力,证券买入,2300,60815308,33.9300,78039.000,2400,-78067.410,23.410,0.000,5.000,497.690,1390005070,上海Ａ股,20260414!413959,2,
20260420,11:08:04,603933,睿能科技,证券卖出,3200,37031446,24.2620,77637.000,0,77570.120,23.290,38.750,4.840,78488.920,1390002962,上海Ａ股,20260420!489809,2,
20260617,14:34:53,002171,楚江新材,证券卖出,5100,104000078552584,15.1000,77010.000,5200,76943.450,23.100,38.510,4.940,77398.690,CL10007406,深圳Ａ股,20260617!623237,1,
20260317,09:25:00,600096,云天化,证券卖出,1900,163961,40.3000,76570.000,0,76503.830,22.970,38.290,4.910,84340.030,1390000188,上海Ａ股,20260317!460145,2,
20260604,13:31:18,600936,北投科技,证券卖出,12400,51690076,6.1500,76260.000,6500,76194.100,22.880,38.140,4.880,76361.110,1390005049,上海Ａ股,20260604!512450,2,
20260604,13:31:59,600743,华远控股,证券买入,30000,51820485,2.5400,76200.000,30000,-76227.770,22.860,0.000,4.910,133.340,1390005061,上海Ａ股,20260604!512451,2,
20260302,11:27:36,300502,新易盛,证券卖出,200,103000061273164,377.3000,75460.000,100,75394.800,22.640,37.730,4.830,76668.940,CL10005760,深圳Ａ股,20260302!587496,1,
20260617,11:09:50,002171,楚江新材,证券买入,5200,104000048708097,14.4000,74880.000,10300,-74907.260,22.460,0.000,4.800,455.240,CL10005611,深圳Ａ股,20260617!623236,1,
20260522,10:07:22,603688,石英股份,证券买入,1000,24436644,74.3100,74310.000,1700,-74337.050,22.290,0.000,4.760,75674.430,1390001593,上海Ａ股,20260522!636082,2,
20260616,13:00:01,002171,楚江新材,证券卖出,5200,103000056590874,14.2800,74256.000,5100,74191.820,22.280,37.130,4.770,75362.500,CL10004060,深圳Ａ股,20260616!560669,1,
20260605,11:27:33,600743,华远控股,证券卖出,30000,46793900,2.4600,73800.000,0,73736.240,22.140,36.900,4.720,125586.840,1390003439,上海Ａ股,20260605!558481,2,
20251127,11:08:58,603259,药明康德,证券买入,800,27351131,91.8000,73440.000,2000,-73466.730,22.030,0.000,4.700,2035.380,1390002093,上海Ａ股,20251127!387635,2,
20260522,10:13:47,603688,石英股份,证券买入,1000,26630457,73.3200,73320.000,2700,-73346.700,22.000,0.000,4.700,2327.730,1390001733,上海Ａ股,20260522!636083,2,
20260513,10:55:06,300395,菲利华,证券卖出,500,102000043905124,146.4900,73245.000,600,73181.710,21.970,36.620,4.700,74965.520,CL10000577,深圳Ａ股,20260513!591212,1,
20260511,09:43:02,002471,中超控股,证券卖出,8200,101000018043986,8.8100,72242.000,0,72179.590,21.670,36.120,4.620,140431.220,CL10002012,深圳Ａ股,20260511!622972,1,
20260615,13:18:16,002171,楚江新材,证券买入,5200,101000061100187,13.8600,72072.000,5200,-72098.230,21.620,0.000,4.610,73055.850,CL10005215,深圳Ａ股,20260615!584682,1,
20260616,10:26:40,002171,楚江新材,证券买入,5100,103000038383715,14.0900,71859.000,10300,-71885.170,21.560,0.000,4.610,1170.680,CL10003667,深圳Ａ股,20260616!560668,1,
20260227,14:17:21,300502,新易盛,证券买入,200,104000064931044,359.0100,71802.000,300,-71828.150,21.540,0.000,4.610,7817.010,CL10006593,深圳Ａ股,20260227!515464,1,
20260122,10:37:35,603667,五洲新春,证券买入,800,33807585,89.6100,71688.000,800,-71714.120,21.510,0.000,4.610,72426.330,1390004741,上海Ａ股,20260122!481151,2,
20260508,13:39:59,002471,中超控股,证券买入,8200,104000065584821,8.7400,71668.000,8200,-71694.100,21.500,0.000,4.600,578.160,CL10006295,深圳Ａ股,20260508!530332,1,
20260109,10:45:30,603696,安记食品,证券买入,3000,35659260,23.8700,71610.000,3000,-71636.070,21.480,0.000,4.590,1214.780,1390002935,上海Ａ股,20260109!606297,2,
20260114,10:50:26,603696,安记食品,证券卖出,3000,40838607,23.7900,71370.000,0,71308.330,21.410,35.690,4.570,207611.660,1390003346,上海Ａ股,20260114!820438,2,
20260317,09:30:00,300274,阳光电源,证券买入,400,102000000876768,174.4400,69776.000,400,-69801.410,20.930,0.000,4.480,14538.620,CL10000278,深圳Ａ股,20260317!460146,1,
20260601,10:07:41,603399,永杉锂业,证券买入,3600,27659568,18.9000,68040.000,3600,-68064.820,20.410,0.000,4.410,71520.050,1390001785,上海Ａ股,20260601!617453,2,
20260511,10:50:45,603688,石英股份,证券卖出,1000,43749302,67.8100,67810.000,0,67751.400,20.340,33.910,4.350,208182.620,1390003541,上海Ａ股,20260511!622973,2,
20260511,09:49:05,000592,平潭发展,证券卖出,5900,104000022227175,11.4800,67732.000,0,67673.470,20.320,33.870,4.340,68251.630,CL10001982,深圳Ａ股,20260511!622971,1,
20260508,10:58:47,000592,平潭发展,证券买入,5900,103000047582100,11.4300,67437.000,5900,-67461.550,20.230,0.000,4.320,138246.280,CL10004832,深圳Ａ股,20260508!530330,1,
20260707,10:35:31,300136,信维通信,证券买入,700,105000038752907,95.0400,66528.000,700,-66552.220,19.960,0.000,4.260,2998.670,CL10003264,深圳Ａ股,20260707!479794,1,
20260707,10:24:48,300768,迪普科技,证券卖出,4300,103000035149532,15.4400,66392.000,4200,66334.630,19.920,33.190,4.260,66391.160,CL10003023,深圳Ａ股,20260707!479791,1,
20260122,10:46:07,600580,卧龙电驱,证券买入,1400,35955532,47.1900,66066.000,1400,-66090.050,19.820,0.000,4.230,144140.450,1390004714,上海Ａ股,20260122!481150,2,
20260508,13:14:02,603688,石英股份,证券买入,1000,51152817,65.9500,65950.000,1000,-65974.020,19.790,0.000,4.230,72272.260,1390004097,上海Ａ股,20260508!530331,2,
20260601,09:56:41,003035,南网能源,证券卖出,9000,105000023351142,7.2000,64800.000,0,64744.000,19.440,32.400,4.160,139584.870,CL10002513,深圳Ａ股,20260601!617452,1,
20251013,10:59:46,000831,中国稀土,证券卖出,1100,104000044254956,58.8700,64757.000,0,64701.030,19.430,32.380,4.160,79200.520,CL10004016,深圳Ａ股,20251013!607180,1,
20260707,10:25:13,300768,迪普科技,证券卖出,4200,103000035297468,15.4010,64684.000,0,64628.100,19.410,32.340,4.150,131019.260,CL10003034,深圳Ａ股,20260707!479792,1,
20260318,10:58:36,300274,阳光电源,证券卖出,400,101000036679028,161.7000,64680.000,0,64624.110,19.400,32.340,4.150,92470.280,CL10004122,深圳Ａ股,20260318!413861,1,
20260601,09:53:48,003035,南网能源,证券卖出,9000,105000021764825,7.1800,64620.000,9000,64564.160,19.390,32.310,4.140,74840.870,CL10002328,深圳Ａ股,20260601!617451,1,
20260128,13:00:09,603667,五洲新春,证券卖出,800,49794013,78.0000,62400.000,0,62346.080,18.720,31.200,4.000,63354.500,1390003577,上海Ａ股,20260128!555839,2,
20260128,13:41:41,600580,卧龙电驱,证券卖出,1400,60700471,44.2000,61880.000,0,61826.540,18.560,30.940,3.960,103021.220,1390004364,上海Ａ股,20260128!555843,2,
20260707,10:32:53,002552,宝鼎科技,证券买入,1100,103000038251448,55.8600,61446.000,1100,-61468.370,18.430,0.000,3.940,69550.890,CL10003192,深圳Ａ股,20260707!479793,1,
20251021,11:26:03,603259,药明康德,证券卖出,600,33612398,101.7000,61020.000,0,60967.270,18.310,30.510,3.910,144789.720,1390002122,上海Ａ股,20251021!440844,2,
20260324,13:02:39,002565,顺灏股份,证券卖出,3700,104000051488073,16.4850,60995.000,0,60942.300,18.300,30.490,3.910,93052.810,CL10003648,深圳Ａ股,20260324!448907,1,
20260429,10:33:55,603688,石英股份,证券买入,1100,31718803,55.3500,60885.000,2800,-60907.180,18.270,0.000,3.910,3672.600,1390002333,上海Ａ股,20260429!482937,2,
20260519,13:22:59,300433,蓝思科技,证券卖出,1600,103000063960403,38.0000,60800.000,0,60747.460,18.240,30.400,3.900,61876.640,CL10005199,深圳Ａ股,20260519!515722,1,
20260303,09:25:00,002149,西部材料,证券卖出,1100,101000000767256,55.0000,60500.000,0,60447.720,18.150,30.250,3.880,129035.330,CL10000123,深圳Ａ股,20260303!593730,1,
20260302,09:57:02,002149,西部材料,证券买入,1100,101000028180348,54.3500,59785.000,2100,-59806.780,17.940,0.000,3.840,1274.140,CL10003003,深圳Ａ股,20260302!587495,1,
20260409,14:21:33,603688,石英股份,证券买入,1300,53318304,45.5700,59241.000,1300,-59262.600,17.770,0.000,3.830,1224.370,1390004437,上海Ａ股,20260409!490269,2,
20251114,14:36:00,515980,人工智能,证券买入,72600,51106431,0.8110,58878.600,72600,-58898.620,17.660,0.000,2.360,73.130,1390004803,上海Ａ股,20251114!437120,2,
20260108,14:10:51,601288,农业银行,证券卖出,7800,57430858,7.4200,57876.000,4000,57825.990,17.360,28.940,3.710,67612.850,1390005954,上海Ａ股,20260108!515733,2,
20260325,14:35:25,600759,洲际油气,证券买入,9500,61168831,6.0800,57760.000,9600,-57781.040,17.330,0.000,3.710,6968.960,1390004587,上海Ａ股,20260325!464863,2,
20260512,09:30:00,002640,跨境通,证券卖出,12400,105000001291979,4.5500,56420.000,12400,56371.190,16.930,28.240,3.640,56782.580,CL10000355,深圳Ａ股,20260512!671616,1,
20260331,10:00:03,600759,洲际油气,证券卖出,9600,18748817,5.8800,56448.000,0,56399.240,16.930,28.220,3.610,186975.040,1390001577,上海Ａ股,20260331!437134,2,
20251124,11:29:16,515980,人工智能,证券卖出,72600,31877615,0.7670,55684.200,0,55665.260,16.710,0.000,2.230,56147.310,1390002301,上海Ａ股,20251124!418909,2,
20260302,13:14:39,002149,西部材料,证券卖出,1000,101000067476895,55.6000,55600.000,1100,55551.950,16.680,27.800,3.570,170567.730,CL10006202,深圳Ａ股,20260302!587498,1,
20251127,10:22:51,603259,药明康德,证券买入,600,19569484,92.5000,55500.000,600,-55520.210,16.650,0.000,3.560,172863.550,1390001625,上海Ａ股,20251127!387632,2,
20260305,09:32:53,002178,延华智能,证券买入,7700,101000006207961,7.2000,55440.000,7700,-55460.170,16.630,0.000,3.540,55760.000,CL10000756,深圳Ａ股,20260305!523036,1,
20251127,10:50:19,603259,药明康德,证券买入,600,24594242,92.3100,55386.000,1200,-55406.170,16.620,0.000,3.550,75502.110,1390001934,上海Ａ股,20251127!387634,2,
20260515,10:54:30,300433,蓝思科技,证券买入,1600,102000049106661,34.6000,55360.000,1600,-55380.160,16.610,0.000,3.550,1129.180,CL10004361,深圳Ａ股,20260515!703307,1,
20251114,13:12:00,603083,剑桥科技,证券卖出,500,37778709,109.9000,54950.000,200,54902.510,16.490,27.480,3.520,58971.750,1390003689,上海Ａ股,20251114!437119,2,
20260408,13:02:21,002831,裕同科技,证券卖出,1500,102000050497163,36.5700,54855.000,0,54807.590,16.460,27.430,3.520,54822.130,CL10006123,深圳Ａ股,20260408!435881,1,
20251124,11:29:38,601138,工业富联,证券买入,1000,31923183,54.6100,54610.000,2400,-54629.880,16.380,0.000,3.500,1517.430,1390002304,上海Ａ股,20251124!418910,2,
20260514,13:22:48,600857,宁波中百,证券买入,3700,60566543,14.6970,54378.000,3700,-54397.780,16.310,0.000,3.470,15.770,1390004678,上海Ａ股,20260514!595807,2,
20260515,09:45:01,300395,菲利华,证券买入,400,101000016930582,135.8000,54320.000,600,-54339.780,16.300,0.000,3.480,2208.400,CL10001592,深圳Ａ股,20260515!703302,1,
20260520,13:18:08,300397,天和防务,证券买入,3700,102000063865437,14.6600,54242.000,7300,-54261.760,16.270,0.000,3.490,590.520,CL10005465,深圳Ａ股,20260520!618199,1,
20260512,09:36:12,002640,跨境通,证券卖出,12400,105000009859480,4.3600,54064.000,0,54017.310,16.220,27.050,3.420,110799.890,CL10001239,深圳Ａ股,20260512!671617,1,
20260306,10:32:44,300474,景嘉微,证券卖出,800,101000031918714,67.5500,54040.000,0,53993.310,16.210,27.020,3.460,192143.610,CL10003161,深圳Ａ股,20260306!522092,1,
20260327,09:31:23,000968,蓝焰控股,证券买入,4700,102000003564709,11.4900,54003.000,4700,-54022.650,16.200,0.000,3.450,2188.830,CL10000558,深圳Ａ股,20260327!436342,1,
20260520,13:12:33,300397,天和防务,证券买入,3600,102000062197114,14.8130,53327.000,3600,-53346.420,16.000,0.000,3.420,54852.280,CL10005277,深圳Ａ股,20260520!618198,1,
20260302,09:55:56,000737,北方铜业,证券卖出,3000,101000027500625,17.7700,53310.000,0,53263.910,15.990,26.660,3.440,61080.920,CL10002963,深圳Ａ股,20260302!587494,1,
20260527,10:45:39,002036,联创电子,证券买入,5200,101000044915784,10.1900,52988.000,13700,-53007.290,15.900,0.000,3.390,574.390,CL10004125,深圳Ａ股,20260527!636624,1,
20260316,14:13:39,600096,云天化,证券卖出,1300,60326845,40.7600,52988.000,1300,52942.210,15.900,26.490,3.400,55814.490,1390004274,上海Ａ股,20260316!539734,2,
