ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
600528.SH,20251114,8.47,8.48,8.59,8.44,8.46,0.01,0.0012,71852196.0,611844354.0
600528.SH,20251107,8.46,8.38,8.49,8.3,8.41,0.05,0.0059,72124993.0,606548597.0
600528.SH,20251031,8.41,8.56,8.6,8.38,8.53,-0.12,-0.0141,103336670.0,877271119.0
600528.SH,20251024,8.53,8.36,9.06,8.3,8.36,0.17,0.0203,247017935.0,2153080793.0
600528.SH,20251017,8.36,8.41,8.67,8.35,8.59,-0.23,-0.0268,110809946.0,944172081.0
600528.SH,20251010,8.59,8.29,8.64,8.28,8.28,0.31,0.0374,60826595.0,518210382.0
600528.SH,20250930,8.28,8.19,8.32,8.13,8.2,0.08,0.0098,31440759.0,259270642.0
600528.SH,20250926,8.2,8.5,8.5,8.17,8.51,-0.31,-0.0364,92986352.0,770110859.0
600528.SH,20250919,8.51,8.47,8.55,8.29,8.5,0.01,0.0012,111088022.0,938751256.0
600528.SH,20250912,8.5,8.36,8.55,8.33,8.39,0.11,0.0131,105564602.0,889306197.0
600528.SH,20250905,8.39,8.5,8.56,8.23,8.53,-0.14,-0.0164,130934450.0,1097750187.0
600528.SH,20250829,8.53,8.84,8.91,8.38,8.86,-0.33,-0.0372,187621420.0,1634463469.0
600528.SH,20250822,8.86,8.84,9.08,8.76,8.87,-0.01,-0.0011,192792329.0,1718784670.0
600528.SH,20250815,8.87,9.33,9.4,8.8,9.19,-0.32,-0.0348,285384979.0,2588928522.0
600528.SH,20250808,9.19,9.01,9.3,8.9,9.06,0.13,0.0143,300766404.0,2717970709.0
600528.SH,20250801,9.06,10.09,10.42,9.02,10.46,-1.4,-0.1338,770726534.0,7372828362.0
600528.SH,20250725,10.46,8.27,12.0,8.27,7.52,2.94,0.391,633625281.0,7049316223.0
600528.SH,20250718,7.52,7.57,7.67,7.46,7.57,-0.05,-0.0066,57518966.0,433303294.0
600528.SH,20250711,7.57,7.39,7.63,7.38,7.4,0.17,0.023,59751894.0,447992610.0
600528.SH,20250704,7.4,7.38,7.45,7.34,7.39,0.01,0.0014,46553840.0,344289082.0
600528.SH,20250627,7.39,7.15,7.44,7.13,7.18,0.21,0.0292,48009781.0,351419593.0
600528.SH,20250620,7.18,7.32,7.38,7.17,7.35,-0.17,-0.0231,41104079.0,299404843.0
