code,name,buy_date,sell_date,buy_price,sell_price,qty,pnl,ret,hold_days,buy_fee,sell_fee,mfe,mae,pullback60,ma20_slope,ret10_prior,above_ma20,post5,post10,max_post10,min_post10,gave_back,exit_class,entry_class
762,西藏矿业,2026-04-02,2026-04-03,31.26,31.26,1400,-53.760000000000005,0.0,1,15.94,37.82,0.02847088931541908,-0.10812539987204106,-0.016052880075542952,-0.009756097560975507,0.09941972920696318,True,0.07677543186180413,0.15163147792706333,0.24952015355086377,-0.05054382597568785,0.02847088931541908,亏损其他,顺势/平台
762,西藏矿业,2026-04-02,2026-04-03,31.26,30.51,1400,-1102.85,-0.0239923224568138,1,15.94,36.91,0.02847088931541908,-0.10812539987204106,-0.016052880075542952,-0.009756097560975507,0.09941972920696318,True,0.10324483775811188,0.1799410029498525,0.28023598820059004,-0.02720419534578833,0.05246321177223288,亏损其他,顺势/平台
777,中核科技,2026-03-13,2026-03-17,26.79,26.17,100,-73.37,-0.0231429637924597,4,5.03,6.34,0.014930944382232303,-0.07876073161627473,-0.14381591562799612,0.003197442046362964,-0.04125286478227652,True,-0.13335880779518539,-0.14902560183416136,-0.01604891096675587,-0.15934275888421867,0.038073908174692,亏损其他,高位回落接盘
831,中国稀土,2025-09-01,2025-09-02,57.34,62.51,200,1017.51,0.0901639344262294,1,5.109999999999999,11.38,0.10010463899546562,-0.021102197418904844,-0.016803840877914866,0.416221466731423,0.2977303070761015,True,-0.17165253559430482,-0.12893936970084774,-0.02143657014877609,-0.18413053911374178,0.009940704569236222,止盈正确,追涨/主升
831,中国稀土,2025-09-03,2025-10-13,56.51,58.87,300,686.5554545454546,0.0417625199079808,40,6.18,15.264545454545454,0.08246328083525056,-0.15165457441160857,-0.10415345592897907,0.4934497816593888,0.3458679492785308,True,-0.0643791404790216,-0.0501104127739086,0.1211143196874469,-0.1071853235943604,0.04070076092726976,过早止盈(卖后继续大涨),追涨/主升
831,中国稀土,2025-09-04,2025-10-13,52.82,58.87,400,2391.9572727272725,0.1145399469897765,39,7.69,20.35272727272727,0.1385838697463082,-0.09238924649753888,-0.16265060240963858,0.3348120476301659,0.20713682432432434,True,-0.0643791404790216,-0.0501104127739086,0.1211143196874469,-0.1071853235943604,0.024043922756531708,过早止盈(卖后继续大涨),追涨/主升
831,中国稀土,2025-09-18,2025-10-13,52.8,58.87,200,1198.7136363636364,0.1149621212121212,25,5.109999999999999,10.176363636363636,0.13901515151515165,-0.09204545454545454,-0.16296766011414077,0.1661739864864864,0.06539351851851838,False,-0.0643791404790216,-0.0501104127739086,0.1211143196874469,-0.1071853235943604,0.02405303030303045,过早止盈(卖后继续大涨),高位回落接盘
831,中国稀土,2025-09-18,2025-10-13,52.8,58.87,200,1198.7136363636364,0.1149621212121212,25,5.109999999999999,10.176363636363636,0.13901515151515165,-0.09204545454545454,-0.16296766011414077,0.1661739864864864,0.06539351851851838,False,-0.0643791404790216,-0.0501104127739086,0.1211143196874469,-0.1071853235943604,0.02405303030303045,过早止盈(卖后继续大涨),高位回落接盘
831,中国稀土,2025-10-20,2025-10-27,54.47,55.81,100,124.128,0.0246006976317239,7,5.05,4.822,0.042775839911878055,-0.03506517348999438,-0.17469696969696968,-0.004781299805206252,0.13010255379046876,True,-0.10517828346174529,-0.1261422684106791,0.042465507973481476,-0.14710625335961303,0.018175142280154155,盈利持有合理,下降通道抄底
831,中国稀土,2025-10-23,2025-10-27,52.81,55.81,400,1173.022,0.0568074228365839,4,7.69,19.288,0.07555387237265654,-0.004733951903048705,-0.19984848484848483,-0.010320478001086375,-0.03953610964681076,False,-0.10517828346174529,-0.1261422684106791,0.042465507973481476,-0.14710625335961303,0.018746449536072636,盈利持有合理,下降通道抄底
831,中国稀土,2025-11-27,2025-12-19,46.6,45.05,500,-802.9533333333334,-0.0332618025751073,22,8.483333333333334,19.47,0.0379828326180256,-0.0858369098712446,-0.29393939393939394,-0.16462536023054752,-0.021518987341772045,False,0.04528301886792474,0.08568257491675912,0.09855715871254178,-0.0017758046614871903,0.0712446351931329,恐慌止损(卖后反弹),下降通道抄底
831,中国稀土,2025-11-27,2025-12-22,46.6,45.79,400,-346.6066666666667,-0.017381974248927,25,6.786666666666665,15.82,0.0379828326180256,-0.0858369098712446,-0.29393939393939394,-0.16462536023054752,-0.021518987341772045,False,0.0161607337846692,0.12317099803450526,0.151998252893645,-0.012884909368857778,0.055364806866952596,亏损其他,下降通道抄底
889,中嘉博创,2026-04-28,2026-04-29,4.78,4.91,2000,244.89,0.0271966527196652,1,5.1000000000000005,10.01,0.04184100418410042,-0.06903765690376573,-0.12293577981651371,0.2816091954022988,0.03480278422273786,True,0.07128309572301417,-0.014256619144602856,0.19959266802443976,-0.10997963340122197,0.014644351464435216,盈利持有合理,高位回落接盘
890,法尔胜,2026-03-17,2026-03-18,12.64,13.17,800,408.52,0.0419303797468353,1,5.1,10.38,0.10759493670886067,-0.03401898734177211,0.03606557377049202,1.2262773722627736,0.5136476426799006,True,0.03340926347760065,0.1617312072892938,0.1996962794229309,-0.09643128321943806,0.06566455696202536,过早止盈(卖后继续大涨),追涨/主升
