account,code,name,open_date,close_date,hold_days,buy_price,sell_price,pnl_net,pnl_pct,t0_close_pct,max_float_gain,max_float_loss,n_buys_in_rt,gave_back_pct,scenario
账户1,002463,沪电股份,2025-11-14,2025-11-26,12.0,62.18,70.29,5618.64,13.04,-0.9166934705693186,18.446445802508848,-4.213573496301059,1,5.406445802508848,F. 其他盈利
账户1,002463,沪电股份,2025-11-14,2025-11-26,12.0,62.18,71.37,908.1,14.78,-0.9166934705693186,18.446445802508848,-4.213573496301059,1,3.666445802508848,F. 其他盈利
账户1,002471,中超控股,2026-05-08,2026-05-11,3.0,8.74,8.81,485.49,0.8,0.22883295194506825,2.9748283752860427,-4.233409610983996,1,2.174828375286043,F. 其他盈利
账户1,002475,立讯精密,2025-10-17,2025-10-21,4.0,55.78,60.57,941.71,8.59,-0.5198996055933991,12.710648978128347,-0.6812477590534272,1,4.120648978128347,F. 其他盈利
账户1,002491,通鼎互联,2026-06-05,2026-06-08,3.0,25.05,25.58,748.16,2.12,-0.9181636726546927,14.091816367265464,-10.738522954091822,1,11.971816367265465,F. 其他盈利
账户1,002565,顺灏股份,2026-03-19,2026-03-24,5.0,16.94,16.485,-760.65,-2.69,1.298701298701288,3.1877213695395534,-11.097992916174737,2,5.877721369539554,B. 买了就涨 → 没跑 → 变小亏
账户1,002565,顺灏股份,2026-03-20,2026-03-24,4.0,16.42,16.485,94.04,0.4,-5.9683313032886876,6.272838002436032,-8.282582216808777,1,5.872838002436032,F. 其他盈利
账户1,002575,群兴玩具,2026-05-13,2026-05-14,1.0,7.39,7.66,2841.5,3.65,0.4059539918809252,10.419485791610295,-5.683355886332886,1,6.769485791610295,F. 其他盈利
账户1,002611,东方精工,2026-01-30,2026-02-05,6.0,17.91,17.73,-585.34,-1.01,0.05583472920156485,1.6192071468453362,-1.3958682300390879,1,2.629207146845336,G. 其他亏损
账户1,002611,东方精工,2026-02-13,2026-02-27,14.0,18.13,18.06,-138.31,-0.39,-0.8825151682294585,0.661886376172105,-1.765030336458906,1,1.0518863761721051,G. 其他亏损
账户1,002611,东方精工,2026-05-19,2026-05-20,1.0,19.92,18.94,-108.99,-4.92,2.158634538152615,4.267068273092356,-5.371485943775101,1,9.187068273092356,A. 买了就涨 → 没跑 → 变大亏
账户1,002640,跨境通,2026-05-11,2026-05-12,1.0,4.35,4.55,2411.55,4.6,4.367816091954024,5.977011494252893,-6.206896551724128,1,1.3770114942528933,C. 买了就涨 → 落袋(部分利润 · 或最大浮盈的一部分)
账户1,002640,跨境通,2026-05-11,2026-05-12,1.0,4.35,4.36,57.67,0.23,4.367816091954024,5.977011494252893,-6.206896551724128,1,5.7470114942528925,C. 买了就涨 → 落袋(部分利润 · 或最大浮盈的一部分)
账户1,002771,真视通,2026-03-05,2026-03-06,1.0,15.85,15.95,185.02,0.63,-1.3880126182965191,3.343848580441633,-2.208201892744477,1,2.713848580441633,F. 其他盈利
账户1,002792,通宇通讯,2026-02-03,2026-02-09,6.0,50.92,50.62,-181.14,-0.59,3.7117046347211247,8.091123330714844,-5.518460329929309,1,8.681123330714843,B. 买了就涨 → 没跑 → 变小亏
账户1,002831,裕同科技,2026-04-03,2026-04-08,5.0,34.995,36.57,2295.97,4.5,0.8429775682240459,6.8724103443349005,-6.929561365909409,1,2.3724103443349005,F. 其他盈利
账户1,002897,意华股份,2026-05-19,2026-05-20,1.0,71.5,72.9,1966.48,1.96,2.78321678321678,4.167832167832164,-8.783216783216785,1,2.207832167832164,C. 买了就涨 → 落袋(部分利润 · 或最大浮盈的一部分)
账户1,002897,意华股份,2026-05-19,2026-05-20,1.0,71.5,71.06,-791.1,-0.62,2.78321678321678,4.167832167832164,-8.783216783216785,1,4.787832167832164,B. 买了就涨 → 没跑 → 变小亏
