account,code,name,open_date,close_date,hold_days,buy_price,sell_price,d0_pct,d1_open_pct,d1_high_pct,d1_low_pct,d1_close_pct,t1_limit_up,d2_pct,ideal_gain_pct,actual_gain_pct,missed_pct,pnl_net,limit_up_pct,scenario,exit_t1,exit_late
账户1,603477,巨星农牧,2026-04-02,2026-04-03,1,17.03,17.03,10.012919896640838,0.0,0.29359953024072905,-3.992953611274219,-2.701115678214916,False,7.845503922751962,0.29359953024072905,0.0,0.29359953024072905,-56.45,10.0,T+1 平开 (模板:开盘直接走 or 分时看破均),True,False
账户1,603477,巨星农牧,2026-04-02,2026-04-03,1,17.03,16.57,10.012919896640838,0.0,0.29359953024072905,-3.992953611274219,-2.701115678214916,False,7.845503922751962,0.29359953024072905,-2.7,2.9935995302407292,-1297.39,10.0,T+1 平开 (模板:开盘直接走 or 分时看破均),True,False
账户2,001309,德明利,2026-03-04,2026-03-05,1,251.17,260.93,10.000000000000009,2.1584449656159244,5.871129307946088,0.9659339348889073,1.804666693166923,False,5.860762953418441,6.03973404467093,3.89,2.14973404467093,952.95,10.0,T+1 高开 2-5% (模板:开盘先撤 · 分时判断),True,False
账户2,002081,金 螳 螂,2026-04-30,2026-05-07,7,5.17,6.96,10.074626865671643,6.440677966101682,9.999999999999986,4.237288135593209,9.999999999999986,True,10.015408320493059,25.531914893617035,34.62,-9.088085106382962,3205.74,10.0,T+1 封板(继续持有 · 你若走了是踏空),False,True
账户2,002202,金风科技,2026-01-09,2026-01-12,3,31.84,34.82,9.986225895316814,6.418284283030684,9.987476518472139,5.0407013149655455,9.987476518472139,True,-3.358952462282949,10.332914572864338,9.36,0.9729145728643385,6500.09,10.0,T+1 封板(继续持有 · 你若走了是踏空),False,True
账户2,002202,金风科技,2026-01-09,2026-01-12,3,31.65,34.82,9.986225895316814,6.418284283030684,9.987476518472139,5.0407013149655455,9.987476518472139,True,-3.358952462282949,10.99526066350711,10.02,0.975260663507111,1884.05,10.0,T+1 封板(继续持有 · 你若走了是踏空),False,True
账户2,002263,大东南,2026-04-02,2026-04-03,1,4.62,4.58,10.000000000000009,-3.1712473572938715,9.51374207188158,-6.553911205074003,-1.4799154334038112,False,5.364806866952798,12.12121212121211,-0.87,12.99121212121211,-94.58,10.0,T+1 低开 3%+ (模板:承认失败 · 早盘冲高就走),True,False
账户2,002269,美邦服饰,2026-04-01,2026-04-02,1,1.84,1.79,10.179640718562876,-1.6304347826086918,-1.6304347826086918,-6.521739130434789,-4.891304347826086,False,-6.2857142857142945,-1.6304347826086918,-2.72,1.0895652173913084,-849.77,10.0,T+1 低开 1-3% (模板:竞价撤 · 若买不到干脆放弃),True,False
账户2,002716,湖南白银,2026-01-05,2026-01-06,1,7.31,7.96,9.97109826589595,3.942181340341655,7.621550591327186,1.182654402102501,5.9132720105124825,False,-0.8684863523573227,12.038303693570441,8.89,3.1483036935704405,3736.29,10.0,T+1 高开 2-5% (模板:开盘先撤 · 分时判断),True,False
账户2,002716,湖南白银,2026-01-05,2026-01-06,1,7.31,7.99,9.97109826589595,3.942181340341655,7.621550591327186,1.182654402102501,5.9132720105124825,False,-0.8684863523573227,12.038303693570441,9.3,2.7383036935704403,3977.6,10.0,T+1 高开 2-5% (模板:开盘先撤 · 分时判断),True,False
账户2,002902,铭普光磁,2026-04-08,2026-04-14,6,29.37,30.52,10.000000000000009,1.8386108273748647,4.834865509022812,-4.2219952332311905,-1.838610827374887,False,-2.6361429066944053,4.834865509022812,3.92,0.9148655090228122,1465.16,10.0,T+1 平开 (模板:开盘直接走 or 分时看破均),False,True
