ts_code,ann_date,holder_name,holder_type,in_de,change_vol,change_ratio,after_share,after_ratio,avg_price,total_share
600761.SH,20260720,安徽叉车集团有限责任公司,C,IN,242000.0,0.0272,319793142.0,35.9039,16.5289,319793142.0
301518.SZ,20260720,江苏长顺集团有限公司,C,IN,220200.0,0.4119,1060551.0,1.984,30.1283,63327402.0
601717.SH,20260720,张易辰,G,IN,13500.0,0.0009,,,14.7556,100500.0
601717.SH,20260720,王永强,G,IN,20000.0,0.0013,,,14.8,302300.0
601717.SH,20260720,李开顺,G,IN,80000.0,0.0052,,,14.885,281000.0
601678.SH,20260720,滨州和宜产业投资合伙企业(有限合伙),C,IN,12988114.0,0.6503,239246686.0,10.0,,239246686.0
601127.SH,20260720,其他团队核心成员,P,IN,1395900.0,0.0896,,,71.6742,
601127.SH,20260720,刘玲,G,IN,18400.0,0.0012,,,55.9783,45892.0
601127.SH,20260720,申薇,G,IN,21300.0,0.0014,,,56.8075,138248.0
601127.SH,20260720,王平,G,IN,42700.0,0.0027,,,55.5035,200283.0
601127.SH,20260720,康波,G,IN,12500.0,0.0008,,,55.2,66997.0
601127.SH,20260720,尹先知,G,IN,36600.0,0.0024,,,53.8251,101848.0
601127.SH,20260720,周林,G,IN,57100.0,0.0037,,,54.9912,298515.0
601127.SH,20260720,刘联,G,IN,21600.0,0.0014,,,56.4815,370648.0
601966.SH,20260720,玲珑集团有限公司,C,IN,923900.0,0.0631,603324522.0,41.2247,,603324522.0
601717.SH,20260720,张易辰,G,IN,13500.0,0.0009,,,14.7556,100500.0
601717.SH,20260720,王永强,G,IN,20000.0,0.0013,,,14.8,302300.0
601717.SH,20260720,李开顺,G,IN,80000.0,0.0052,,,14.885,281000.0
601127.SH,20260720,王平,G,IN,42700.0,0.0027,,,55.5035,200283.0
601127.SH,20260720,康波,G,IN,12500.0,0.0008,,,55.2,66997.0
601127.SH,20260720,周林,G,IN,57100.0,0.0037,,,54.9912,298515.0
300627.SZ,20260720,朴东国,G,IN,970000.0,0.1478,4412287.0,0.6725,28.13,14739146.0
600761.SH,20260720,安徽叉车集团有限责任公司,C,IN,242000.0,0.0272,319793142.0,35.9039,16.5289,319793142.0
301518.SZ,20260720,江苏长顺集团有限公司,C,IN,220200.0,0.4119,1060551.0,1.984,30.1283,63327402.0
