ts_code,ann_date,holder_name,holder_type,in_de,change_vol,change_ratio,after_share,after_ratio,avg_price,total_share,begin_date,close_date
688720.SH,20260731,陈小华,G,IN,10000.0,0.0128,None,None,None,1250396.0,20260730,20260730
603223.SH,20260731,SONG JIANBO,P,IN,95900.0,0.0136,36099149.0,5.1145,None,36099149.0,20260724,20260730
688091.SH,20260731,周劲松,G,IN,3000.0,0.0015,40130058.0,19.4143,None,40130058.0,20260730,20260730
300192.SZ,20260730,苏州科德教育科技股份有限公司“跃迁者”第一期员工持股计划,C,IN,886700.0,0.1947,None,None,11.28,None,None,20260730
300192.SZ,20260730,苏州科德教育科技股份有限公司“跃迁者”第一期员工持股计划,C,IN,886700.0,0.1947,None,None,11.28,None,None,20260730
688800.SH,20260730,苏州瑞可达连接系统股份有限公司-2026年第二期员工持股计划,C,IN,2242145.0,0.7775,2242145.0,0.7775,60.2035,2242145.0,None,20260729
920914.BJ,20260730,江苏远航时代控股集团有限公司,C,IN,56200.0,0.0564,39606405.0,39.7638,18.0327,39606405.0,20260728,20260728
600731.SH,20260730,湖南海利高新技术产业集团有限公司,C,IN,1617700.0,0.2986,132924549.0,24.5392,None,132924549.0,20260729,20260729
002353.SZ,20260729,路伟,G,IN,22300.0,0.0032,None,None,None,217300.0,20260527,20260728
002353.SZ,20260729,李慧涛,G,IN,22500.0,0.0033,None,None,None,196400.0,20260527,20260728
002353.SZ,20260729,李志勇,G,IN,22100.0,0.0032,None,None,None,733649.0,20260527,20260728
603927.SH,20260729,蔡宏,G,IN,90000.0,0.0108,None,None,None,None,20260728,20260728
300183.SZ,20260729,广东南海产业集团有限公司,C,IN,3894600.0,1.0497,10440675.0,2.814,None,10440675.0,20260723,20260728
301306.SZ,20260729,中投国联(北京)投资基金有限公司-中投国联匠心九号私募证券投资基金,C,IN,122100.0,0.2096,4342100.0,7.4526,81.85,4342100.0,20260729,20260729
300183.SZ,20260729,广东南海产业集团有限公司,C,IN,3894600.0,1.0497,69391275.0,18.7024,None,69391275.0,20260723,20260728
301269.SZ,20260729,中电金投控股有限公司,C,IN,4717200.0,0.861,75154400.0,13.7174,None,75154400.0,20260430,20260729
603927.SH,20260729,左春,G,IN,114000.0,0.0137,None,None,None,None,20260727,20260727
002054.SZ,20260729,陈秋有,G,IN,2000000.0,0.5208,2000000.0,0.5208,None,2000000.0,20260727,20260727
600279.SH,20260729,重庆物流集团有限公司,C,IN,737900.0,0.0622,737900.0,0.0622,4.1108,737900.0,20260728,20260728
002054.SZ,20260729,陈秋有,G,IN,2000000.0,0.5208,2000000.0,0.5208,None,2000000.0,20260727,20260727
001205.SZ,20260729,万达控股集团有限公司,C,IN,703400.0,0.4225,23072218.0,13.8585,None,23072218.0,20260722,20260728
002353.SZ,20260729,路伟,G,IN,22300.0,0.0032,None,None,None,217300.0,20260527,20260728
002353.SZ,20260729,李慧涛,G,IN,22500.0,0.0033,None,None,None,196400.0,20260527,20260728
002353.SZ,20260729,李志勇,G,IN,22100.0,0.0032,None,None,None,733649.0,20260527,20260728
603927.SH,20260729,蔡宏,G,IN,90000.0,0.0108,None,None,None,None,20260728,20260728
603927.SH,20260729,左春,G,IN,114000.0,0.0137,None,None,None,None,20260727,20260727
600279.SH,20260729,重庆物流集团有限公司,C,IN,737900.0,0.0622,737900.0,0.0622,4.1108,737900.0,20260728,20260728
002377.SZ,20260729,科元控股集团有限公司,C,IN,3650000.0,0.4184,114126271.0,13.0815,None,114126271.0,20260713,20260728
688692.SH,20260729,中电金投控股有限公司,C,IN,11758.0,0.0159,2264758.0,3.0537,None,6898700.0,20260728,20260728
601766.SH,20260729,中国中车集团有限公司,C,IN,4730000.0,0.0194,14770171250.0,51.466,None,14770171250.0,20260728,20260728
300407.SZ,20260728,佳都科技集团股份有限公司,C,IN,3340400.0,1.2894,42179252.0,16.2808,None,42179252.0,20260722,20260724
603231.SH,20260728,山东万得福实业集团有限公司,C,IN,197000.0,0.1854,197000.0,0.1854,14.034,82945091.0,20260727,20260727
601717.SH,20260728,张海斌,G,IN,100000.0,0.0065,None,None,None,861200.0,20260724,20260724
601717.SH,20260728,张海斌,G,IN,100000.0,0.0065,None,None,None,861200.0,20260724,20260724
600202.SH,20260728,哈尔滨电碳厂有限责任公司,C,IN,2958400.0,0.7717,None,None,None,None,20260626,20260727
300627.SZ,20260727,朴东国,G,IN,180000.0,0.0274,14919146.0,2.2689,None,14919146.0,20260720,20260724
300929.SZ,20260727,王凤仙,P,IN,2882600.0,2.2995,5606800.0,4.4725,None,5606800.0,20260723,20260727
300929.SZ,20260727,王根九,P,IN,1459360.0,1.1641,11281280.0,8.9991,None,11281280.0,20260723,20260727
301439.SZ,20260727,威海市明博线缆科技有限公司,C,IN,1407244.0,0.7679,1407244.0,0.7679,None,207262129.0,20260722,20260724
603927.SH,20260725,张志华,G,IN,50000.0,0.006,5313806.0,0.6394,None,5313806.0,20260724,20260724
603135.SH,20260725,谷峰兰,G,IN,100000.0,0.0159,75476185.0,11.9891,8.35,75476185.0,20260724,20260724
002120.SZ,20260725,上海罗颉思投资管理有限公司,C,IN,1451510.0,0.0516,1534873469.0,54.5223,None,1534873469.0,20260706,20260724
603656.SH,20260725,阳光新能源开发股份有限公司,C,IN,1234700.0,0.6749,47158826.0,25.7775,None,47158826.0,20260715,20260722
603129.SH,20260725,浙江春风动力股份有限公司2026年员工持股计划,C,IN,20300.0,0.0132,None,None,219.48,None,None,20260724
603927.SH,20260725,张志华,G,IN,50000.0,0.006,5313806.0,0.6394,None,5313806.0,20260724,20260724
603135.SH,20260725,谷峰兰,G,IN,100000.0,0.0159,75476185.0,11.9891,8.35,75476185.0,20260724,20260724
002120.SZ,20260725,上海罗颉思投资管理有限公司,C,IN,1451509.0,0.0516,1534873468.0,54.5223,None,1534873468.0,20260706,20260724
688105.SH,20260725,南京诺唯赞投资管理有限公司,C,IN,2697522.0,0.5218,213737019.0,41.343,None,213737019.0,20260623,20260723
000009.SZ,20260725,深圳市承兴投资有限公司,C,IN,286500.0,0.0111,494000278.0,19.1769,None,494000278.0,20260330,20260723
002192.SZ,20260725,张长虹,P,IN,650008.0,0.2509,4328525.0,1.6705,61.8131,4328525.0,20260722,20260724
920168.BJ,20260725,刘威,G,IN,6700.0,0.0238,6700.0,0.0238,14.8392,17920745.0,20260723,20260723
600600.SH,20260725,青岛啤酒集团有限公司,香港鑫海盛投资发展有限公司,C,IN,40000.0,0.0056,405172055.0,29.7004,None,405172055.0,20260724,20260724
603129.SH,20260725,浙江春风动力股份有限公司2026年员工持股计划,C,IN,20300.0,0.0132,None,None,219.48,None,None,20260724
603927.SH,20260725,张志华,G,IN,50000.0,0.006,5313806.0,0.6394,None,5313806.0,20260724,20260724
603135.SH,20260725,谷峰兰,G,IN,100000.0,0.0159,75476185.0,11.9891,8.35,75476185.0,20260724,20260724
002120.SZ,20260725,上海罗颉思投资管理有限公司,C,IN,1451509.0,0.0516,1534873468.0,54.5223,None,1534873468.0,20260706,20260724
600169.SH,20260725,太原重型机械集团有限公司,C,IN,7616360.0,0.2285,1722499966.0,51.678,2.3627,1722499966.0,20251107,20260724
000598.SZ,20260725,信环绿色控股(北京)有限责任公司,C,IN,29856600.0,1.0007,242221496.0,8.1184,None,242221496.0,20260717,20260723
688105.SH,20260725,南京诺唯赞投资管理有限公司,C,IN,2697522.0,0.5218,213737019.0,41.343,None,213737019.0,20260623,20260723
002079.SZ,20260725,苏州通博电子器材有限公司,C,IN,620400.0,0.0765,191988255.0,23.6748,None,191988255.0,20260715,20260715
920168.BJ,20260725,刘威,G,IN,6700.0,0.0238,6700.0,0.0238,14.8392,17920745.0,20260723,20260723
600187.SH,20260724,丁宏伟,G,IN,490000.0,0.0304,490000.0,0.0304,1.4,490000.0,20260723,20260723
920640.BJ,20260724,雷杰,G,IN,5000.0,0.0028,None,None,25.28,5000.0,20260722,20260722
920640.BJ,20260724,党作红,G,IN,5000.0,0.0028,None,None,25.7,102000.0,20260722,20260722
920640.BJ,20260724,朱克元,G,IN,10000.0,0.0055,None,None,24.85,10000.0,20260722,20260722
920640.BJ,20260724,蔡亚娟,G,IN,20000.0,0.0111,None,None,25.5,58101.0,20260722,20260722
920640.BJ,20260724,常国亮,G,IN,5000.0,0.0028,None,None,25.5,5000.0,20260722,20260722
920640.BJ,20260724,付景超,G,IN,20000.0,0.0111,None,None,25.4,31000.0,20260722,20260722
301089.SZ,20260724,马冠军,G,IN,500.0,0.0006,None,None,22.5,500.0,20260630,20260723
301089.SZ,20260724,杨西宁,G,IN,72000.0,0.0796,None,None,22.2575,34527650.0,20260630,20260723
688157.SH,20260724,熊开阔,G,IN,11810.0,0.0063,11810.0,0.0063,None,11810.0,20260723,20260723
301089.SZ,20260724,邵艳行,P,IN,27400.0,0.0303,None,None,22.4664,31200.0,20260630,20260723
301089.SZ,20260724,马冠军,G,IN,500.0,0.0006,None,None,22.5,500.0,20260630,20260723
301089.SZ,20260724,杨西宁,G,IN,72000.0,0.0796,None,None,22.2575,34527650.0,20260630,20260723
920640.BJ,20260724,雷杰,G,IN,5000.0,0.0028,None,None,25.28,5000.0,20260722,20260722
920640.BJ,20260724,党作红,G,IN,5000.0,0.0028,None,None,25.7,102000.0,20260722,20260722
920640.BJ,20260724,朱克元,G,IN,10000.0,0.0055,None,None,24.85,10000.0,20260722,20260722
920640.BJ,20260724,蔡亚娟,G,IN,20000.0,0.0111,None,None,25.5,58101.0,20260722,20260722
920640.BJ,20260724,常国亮,G,IN,5000.0,0.0028,None,None,25.5,5000.0,20260722,20260722
920640.BJ,20260724,付景超,G,IN,20000.0,0.0111,None,None,25.4,31000.0,20260722,20260722
601717.SH,20260724,张海斌,G,IN,10000.0,0.0006,None,None,15.4,761200.0,20260723,20260723
688157.SH,20260724,熊开阔,G,IN,11810.0,0.0063,11810.0,0.0063,None,11810.0,20260723,20260723
601717.SH,20260724,贾浩,G,IN,200000.0,0.013,None,None,15.58,2642300.0,20260721,20260721
600187.SH,20260724,丁宏伟,G,IN,490000.0,0.0304,490000.0,0.0304,1.4,490000.0,20260723,20260723
601717.SH,20260724,李开顺,G,IN,53000.0,0.0034,None,None,15.2189,334000.0,20260720,20260722
601717.SH,20260724,付奇,G,IN,48000.0,0.0031,None,None,15.5333,525000.0,20260721,20260721
920640.BJ,20260724,雷杰,G,IN,5000.0,0.0028,None,None,25.28,5000.0,20260722,20260722
920640.BJ,20260724,党作红,G,IN,5000.0,0.0028,None,None,25.7,102000.0,20260722,20260722
920640.BJ,20260724,朱克元,G,IN,10000.0,0.0055,None,None,24.85,10000.0,20260722,20260722
920640.BJ,20260724,蔡亚娟,G,IN,20000.0,0.0111,None,None,25.5,58101.0,20260722,20260722
920640.BJ,20260724,常国亮,G,IN,5000.0,0.0028,None,None,25.5,5000.0,20260722,20260722
920640.BJ,20260724,付景超,G,IN,20000.0,0.0111,None,None,25.4,31000.0,20260722,20260722
601717.SH,20260724,张海斌,G,IN,10000.0,0.0006,None,None,15.4,761200.0,20260723,20260723
002557.SZ,20260724,陈先保,G,IN,1128600.0,0.2238,1594600.0,0.3162,19.2088,1594600.0,20260625,20260723
688157.SH,20260724,熊开阔,G,IN,11810.0,0.0063,11810.0,0.0063,None,11810.0,20260723,20260723
601717.SH,20260724,贾浩,G,IN,200000.0,0.013,None,None,15.58,2642300.0,20260721,20260721
600187.SH,20260724,丁宏伟,G,IN,490000.0,0.0304,490000.0,0.0304,1.4,490000.0,20260723,20260723
603223.SH,20260724,SONG JIANBO,P,IN,712200.0,0.1009,36003249.0,5.1009,None,36003249.0,20260720,20260723
601717.SH,20260724,李开顺,G,IN,53000.0,0.0034,None,None,15.2189,334000.0,20260720,20260722
601717.SH,20260724,付奇,G,IN,48000.0,0.0031,None,None,15.5333,525000.0,20260721,20260721
601588.SH,20260724,北京北辰实业集团有限责任公司,C,IN,11506000.0,0.4326,1209178303.0,35.9124,1.6738,1209178303.0,20260414,20260723
003008.SZ,20260723,仵博,P,IN,4091677.0,5.2644,4091677.0,5.2644,None,4091677.0,20260611,20260708
003008.SZ,20260723,陕西华富新能源有限公司,C,IN,479300.0,0.6167,479300.0,0.6167,None,479300.0,20260720,20260720
003008.SZ,20260723,陕西华富新能源有限公司,C,IN,720100.0,0.9265,1199400.0,1.5432,None,1199400.0,20260721,20260721
000932.SZ,20260723,湖南钢铁集团有限公司,C,IN,38436200.0,0.5609,2346953563.0,34.2491,3.4863,2346953563.0,20260629,20260722
688386.SH,20260723,张云,G,IN,85500.0,0.094,25450407.0,27.9675,58.5977,25450407.0,20260722,20260722
000695.SZ,20260723,旭阳集团有限公司,C,IN,800000.0,0.3607,46356000.0,20.8989,None,46356000.0,20260722,20260722
003015.SZ,20260723,陈鑫帅,G,IN,387400.0,0.1566,387400.0,0.1566,13.2244,387400.0,20260630,20260722
002096.SZ,20260723,刘刚,G,IN,400.0,0.0,109000.0,0.0088,None,109000.0,20260616,20260721
002096.SZ,20260723,王志强,G,IN,77000.0,0.0062,92000.0,0.0074,None,92000.0,20260616,20260721
002096.SZ,20260723,蔡峰,G,IN,103800.0,0.0084,113800.0,0.0092,None,113800.0,20260616,20260721
002096.SZ,20260723,张健辉,G,IN,10900.0,0.0009,118000.0,0.0095,None,118000.0,20260616,20260721
002096.SZ,20260723,邓小英,G,IN,103700.0,0.0084,301600.0,0.0243,None,301600.0,20260616,20260721
002096.SZ,20260723,付军,G,IN,76400.0,0.0062,400000.0,0.0322,None,400000.0,20260616,20260721
002146.SZ,20260723,王晓辉,G,IN,320000.0,0.0082,420100.0,0.0107,None,420100.0,20260715,20260722
002146.SZ,20260723,王冰,G,IN,2400.0,0.0001,1378400.0,0.0352,None,1378400.0,20260715,20260722
002146.SZ,20260723,隆小康,G,IN,16100.0,0.0004,1166100.0,0.0298,None,1166100.0,20260715,20260722
002146.SZ,20260723,穆旸,G,IN,31000.0,0.0008,31000.0,0.0008,1.1003,31000.0,20260630,20260722
002146.SZ,20260723,吴秋云,G,IN,40600.0,0.001,40600.0,0.001,1.0948,40600.0,20260630,20260722
002146.SZ,20260723,邹家立,G,IN,30000.0,0.0008,23850000.0,0.6097,None,23850000.0,20260715,20260722
600338.SH,20260723,西藏珠峰资源股份有限公司-2026年员工持股计划,C,IN,3930000.0,0.4299,None,None,11.55,None,None,20260723
003015.SZ,20260723,徐一佳,G,IN,8000.0,0.0032,None,None,12.5013,233231.0,20260630,20260722
003015.SZ,20260723,彭磊,G,IN,83100.0,0.0336,83100.0,0.0336,12.637,83100.0,20260630,20260722
300185.SZ,20260723,山东国惠资本有限公司,C,IN,1397600.0,0.0363,605430300.0,15.7399,2.73,605430300.0,20260721,20260721
002278.SZ,20260723,上海畅怡投资管理有限公司,C,IN,528400.0,0.1473,528400.0,0.1473,6.976,528400.0,20260721,20260721
002096.SZ,20260723,宋龙梅,G,IN,54800.0,0.0044,54800.0,0.0044,9.4197,54800.0,20260615,20260721
002096.SZ,20260723,胡良伟,G,IN,26600.0,0.0021,26600.0,0.0021,9.3985,26600.0,20260615,20260721
002096.SZ,20260723,邹七平,G,IN,11200.0,0.0009,11200.0,0.0009,8.8839,11200.0,20260615,20260721
003015.SZ,20260723,陈鑫帅,G,IN,387400.0,0.1566,387400.0,0.1566,13.2244,387400.0,20260630,20260722
002096.SZ,20260723,刘刚,G,IN,400.0,0.0,109000.0,0.0088,None,109000.0,20260616,20260721
002096.SZ,20260723,王志强,G,IN,77000.0,0.0062,92000.0,0.0074,None,92000.0,20260616,20260721
002096.SZ,20260723,蔡峰,G,IN,103800.0,0.0084,113800.0,0.0092,None,113800.0,20260616,20260721
002096.SZ,20260723,刘小钧,P,IN,40800.0,0.0033,106300.0,0.0086,None,106300.0,20260616,20260721
002096.SZ,20260723,张健辉,G,IN,10900.0,0.0009,118000.0,0.0095,None,118000.0,20260616,20260721
002096.SZ,20260723,邓小英,G,IN,103700.0,0.0084,301600.0,0.0243,None,301600.0,20260616,20260721
002096.SZ,20260723,付军,G,IN,76400.0,0.0062,400000.0,0.0322,None,400000.0,20260616,20260721
002146.SZ,20260723,王晓辉,G,IN,320000.0,0.0082,420100.0,0.0107,None,420100.0,20260715,20260722
002146.SZ,20260723,王冰,G,IN,2400.0,0.0001,1378400.0,0.0352,None,1378400.0,20260715,20260722
600810.SH,20260723,中国平煤神马控股集团有限公司,C,IN,3602000.0,0.3333,447049364.0,41.3646,None,447049364.0,20260720,20260722
002146.SZ,20260723,隆小康,G,IN,16100.0,0.0004,1166100.0,0.0298,None,1166100.0,20260715,20260722
002146.SZ,20260723,穆旸,G,IN,31000.0,0.0008,31000.0,0.0008,1.1003,31000.0,20260630,20260722
002146.SZ,20260723,吴秋云,G,IN,40600.0,0.001,40600.0,0.001,1.0948,40600.0,20260630,20260722
002146.SZ,20260723,邹家立,G,IN,30000.0,0.0008,23850000.0,0.6097,None,23850000.0,20260715,20260722
003015.SZ,20260723,徐一佳,G,IN,8000.0,0.0032,None,None,12.5013,233231.0,20260630,20260722
003015.SZ,20260723,彭磊,G,IN,83100.0,0.0336,83100.0,0.0336,12.637,83100.0,20260630,20260722
300185.SZ,20260723,山东国惠资本有限公司,C,IN,1397600.0,0.0363,605430300.0,15.7399,2.73,605430300.0,20260721,20260721
002278.SZ,20260723,上海畅怡投资管理有限公司,C,IN,528400.0,0.1473,528400.0,0.1473,6.976,528400.0,20260721,20260721
002096.SZ,20260723,张震宇,P,IN,53800.0,0.0043,53800.0,0.0043,9.29,53800.0,20260615,20260721
002096.SZ,20260723,宋龙梅,G,IN,54800.0,0.0044,54800.0,0.0044,9.4197,54800.0,20260615,20260721
002096.SZ,20260723,胡良伟,G,IN,26600.0,0.0021,26600.0,0.0021,9.3985,26600.0,20260615,20260721
002096.SZ,20260723,邹七平,G,IN,11200.0,0.0009,11200.0,0.0009,8.8839,11200.0,20260615,20260721
600338.SH,20260723,西藏珠峰资源股份有限公司-2026年员工持股计划,C,IN,3930000.0,0.4299,None,None,11.55,None,None,20260723
688350.SH,20260722,钱鑫,G,IN,2864800.0,1.9999,5729600.0,3.9999,18.83,5729600.0,20260721,20260721
300183.SZ,20260722,广东南海产业集团有限公司,C,IN,3337175.0,0.8994,6546075.0,1.7643,9.6359,6546075.0,20260721,20260722
300407.SZ,20260722,佳都科技集团股份有限公司,C,IN,2152000.0,0.8307,38838852.0,14.9915,None,38838852.0,20260717,20260721
000988.SZ,20260722,王霞,G,IN,20000.0,0.002,None,None,96.67,30000.0,20260721,20260721
000988.SZ,20260722,张勤,G,IN,20000.0,0.002,None,None,101.13,116000.0,20260721,20260721
000988.SZ,20260722,熊文,G,IN,20000.0,0.002,None,None,95.27,153300.0,20260721,20260721
000988.SZ,20260722,刘含树,G,IN,29900.0,0.003,None,None,95.27,180000.0,20260721,20260721
000988.SZ,20260722,马新强,G,IN,50000.0,0.005,None,None,99.37,350000.0,20260721,20260721
002416.SZ,20260722,周友盟,G,IN,2210100.0,0.1806,None,None,9.193,3130000.0,20260714,20260721
000656.SZ,20260722,郭伟,G,IN,511100.0,0.0067,511100.0,0.0067,1.2279,None,20260706,20260721
300286.SZ,20260722,朱芳,G,IN,263000.0,0.1266,None,None,18.99,12240752.0,20260721,20260721
300286.SZ,20260722,周中,G,IN,130000.0,0.0626,9929497.0,4.779,19.18,39327988.0,20260721,20260721
300407.SZ,20260722,佳都科技集团股份有限公司,C,IN,2152000.0,0.8307,38838852.0,14.9915,None,38838852.0,20260717,20260721
001205.SZ,20260722,万达控股集团有限公司,C,IN,654000.0,0.3928,22368818.0,13.436,12.6074,22368818.0,20260720,20260721
002416.SZ,20260722,米泽东,G,IN,344700.0,0.0282,None,None,8.9836,715480.0,20260714,20260721
920519.BJ,20260722,汪希领,G,IN,15000.0,0.0189,None,None,9.2513,823894.0,20260720,20260720
001322.SZ,20260722,佛山市乐华恒业实业投资有限公司,C,IN,161100.0,0.0205,480161100.0,61.1194,6.2017,480161100.0,20260721,20260721
688557.SH,20260722,董新军,G,IN,16118.0,0.0109,None,None,None,62083.0,20260303,20260720
688557.SH,20260722,林茂,G,IN,28830.0,0.0194,None,None,None,598050.0,20260303,20260720
688557.SH,20260722,沈长鹏,G,IN,29225.0,0.0197,None,None,None,700181.0,20260303,20260720
688557.SH,20260722,张小艺,G,IN,69300.0,0.0675,None,None,None,1476214.0,20260303,20260303
688117.SH,20260722,四川赛诺投资有限公司,C,IN,2005462.0,0.9102,68959062.0,31.2966,24.895,68959062.0,20260717,20260721
688557.SH,20260722,董新军,G,IN,16118.0,0.0109,None,None,None,62083.0,20260303,20260720
688557.SH,20260722,林茂,G,IN,28830.0,0.0194,None,None,None,598050.0,20260303,20260720
688557.SH,20260722,沈长鹏,G,IN,29225.0,0.0197,None,None,None,700181.0,20260303,20260720
688557.SH,20260722,张小艺,G,IN,69300.0,0.0675,None,None,None,1476214.0,20260303,20260303
688117.SH,20260722,四川赛诺投资有限公司,C,IN,2005462.0,0.9102,68959062.0,31.2966,24.895,68959062.0,20260717,20260721
603659.SH,20260722,张小全,G,IN,153000.0,0.0072,None,None,None,None,20260521,20260521
603659.SH,20260722,熊高权,G,IN,153000.0,0.0072,None,None,None,None,20260521,20260521
603659.SH,20260722,刘勇标,G,IN,340000.0,0.0159,None,None,None,None,20260528,20260528
603659.SH,20260722,刘芳,G,IN,190400.0,0.0089,None,None,None,None,20260527,20260527
603659.SH,20260722,王晓明,G,IN,442000.0,0.0207,None,None,None,None,20260522,20260522
603659.SH,20260722,韩钟伟,G,IN,110000.0,0.0051,None,None,None,None,20260630,20260630
603659.SH,20260722,韩钟伟,G,IN,340000.0,0.0159,None,None,None,None,20260522,20260522
688350.SH,20260722,钱鑫,G,IN,2864800.0,1.9999,5729600.0,3.9999,18.83,5729600.0,20260721,20260721
000595.SZ,20260722,宁夏电力投资集团有限公司,C,IN,4750000.0,0.4172,214416551.0,18.8307,None,214416551.0,20260702,20260721
000656.SZ,20260722,杨鹏,G,IN,599000.0,0.0079,599000.0,0.0079,1.2589,None,20260706,20260721
000656.SZ,20260722,李根,G,IN,666500.0,0.0088,666500.0,0.0088,1.1851,None,20260706,20260721
000656.SZ,20260722,郭伟,G,IN,511100.0,0.0067,511100.0,0.0067,1.2279,None,20260706,20260721
600052.SH,20260722,浙江野风创业投资有限公司,C,IN,80000.0,0.0095,1530000.0,0.1812,None,1530000.0,20260626,20260721
300286.SZ,20260722,朱芳,G,IN,263000.0,0.1266,None,None,18.99,12240752.0,20260721,20260721
300286.SZ,20260722,周中,G,IN,130000.0,0.0626,9929497.0,4.779,19.18,39327988.0,20260721,20260721
600052.SH,20260722,野风集团有限公司,C,IN,568000.0,0.0673,5160000.0,0.6112,None,5160000.0,20260629,20260630
002798.SZ,20260722,成都水华智能科技集团有限公司,C,IN,2048400.0,0.3964,25235521.0,4.8835,None,25235521.0,20260720,20260721
000988.SZ,20260722,王霞,G,IN,20000.0,0.002,None,None,96.67,30000.0,20260721,20260721
000988.SZ,20260722,张勤,G,IN,20000.0,0.002,None,None,101.13,116000.0,20260721,20260721
