ts_code,ann_date,holder_name,holder_type,in_de,change_vol,change_ratio,after_share,after_ratio,avg_price,total_share
300832.SZ,20260825,张蕾,G,IN,10000.0,0.0015,,,47.69,
300732.SZ,20260825,魏俊锋,G,DE,45927.0,0.0124,0.0,,6.07,137781.0
300929.SZ,20260825,王凤仙,P,IN,1885640.0,1.5042,8721840.0,6.9574,,8721840.0
300929.SZ,20260825,王根九,P,IN,489600.0,0.3906,12806180.0,10.2155,,12806180.0
301173.SZ,20260825,国泰君安证券资管-招商银行-国泰君安君享创业板毓恬冠佳1号战略配售集合资产管理计划,C,DE,239700.0,0.7775,642756.0,2.0849,29.32,642756.0
001301.SZ,20260825,长江晨道(湖北)新能源产业投资合伙企业(有限合伙),C,DE,4925432.0,1.8937,12812708.0,4.9263,53.53,12812708.0
001301.SZ,20260825,长江晨道(湖北)新能源产业投资合伙企业(有限合伙),C,DE,370000.0,0.1991,12670100.0,6.8171,91.07,12670100.0
688279.SH,20260825,上海华芯创业投资合伙企业(有限合伙),C,DE,1000000.0,1.0689,10180273.0,8.8436,,10180273.0
603887.SH,20260825,许奇,P,DE,60000.0,0.01,,,11.6722,214960.0
603887.SH,20260825,张杨,G,DE,49900.0,0.0083,,,10.29,150100.0
001390.SZ,20260825,芜湖京城二期股权投资基金合伙企业(有限合伙),C,DE,43600.0,0.0367,7203100.0,6.0643,,7203100.0
001390.SZ,20260825,北京城建一期(芜湖)股权投资基金合伙企业(有限合伙),C,DE,120000.0,0.101,16633300.0,14.0035,,16633300.0
600238.SH,20260825,海南环樾科技合伙企业(有限合伙),C,IN,114000.0,0.0256,21864754.0,4.9104,,21864754.0
002973.SZ,20260825,安义珑欣企业管理合伙企业(有限合伙),C,DE,1191700.0,0.3752,16181647.0,5.0941,,16181647.0
002973.SZ,20260825,郭倍华,G,DE,2895000.0,0.9114,15028944.0,4.7312,,103750174.0
603120.SH,20260825,嘉兴附加值青山投资合伙企业(有限合伙),C,DE,2712000.0,7.1557,,,53.9307,671332.0
001287.SZ,20260825,共青城亿科合融投资管理合伙企业(有限合伙),C,DE,6019600.0,0.7922,45586885.0,5.9991,,45586885.0
603639.SH,20260825,刘玉龙,G,DE,56000.0,0.0165,,,10.5904,172000.0
603639.SH,20260825,青岛合意投资中心(有限合伙),C,DE,424300.0,0.1248,16780251.0,4.9371,10.795,16780251.0
600338.SH,20260825,西藏珠峰资源股份有限公司-2026年员工持股计划,C,IN,570000.0,0.0623,,,13.06,
688433.SH,20260825,侯银华,P,DE,722694.0,0.1739,45378186.0,10.9193,,45378186.0
002825.SZ,20260825,游景超,P,IN,721400.0,0.2811,1226700.0,0.478,,1226700.0
600590.SH,20260825,泰豪集团有限公司,C,DE,500000.0,0.0593,102983277.0,12.208,,102983277.0
688356.SH,20260825,吴凯庭,P,DE,1769521.0,2.9176,4293791.0,7.0795,,4293791.0
600900.SH,20260825,中国长江三峡集团有限公司,C,IN,58238895.0,0.238,,,,10636013637.0
600770.SH,20260825,海安瑞海城镇化投资建设有限公司,C,DE,2500000.0,0.1923,62500000.0,4.8077,,62500000.0
300858.SZ,20260824,宁波顺懿创业投资合伙企业(有限合伙),C,DE,1487766.0,0.7601,14321900.0,7.3168,,14321900.0
300003.SZ,20260824,蒲忠杰,G,IN,853700.0,0.0541,,,11.71,228928449.0
920045.BJ,20260822,深圳市创新投资集团有限公司,C,DE,128500.0,0.456,983327.0,3.4896,464.2072,983327.0
920045.BJ,20260822,深圳市红土创客创业投资合伙企业(有限合伙),C,DE,128500.0,0.456,983327.0,3.4896,462.9132,983327.0
920045.BJ,20260822,深圳市福田红土股权投资基金合伙企业(有限合伙),C,DE,514000.0,1.8241,3933358.0,13.9587,462.5255,3933358.0
688153.SH,20260822,"深圳市贵人资本投资有限公司,深圳市顺水孵化管理有限公司",C,DE,70000.0,0.0167,25319214.0,6.0548,,25319214.0
001390.SZ,20260822,芜湖京城二期股权投资基金合伙企业(有限合伙),C,DE,253300.0,0.2133,7246700.0,6.101,,7246700.0
001390.SZ,20260822,北京城建一期(芜湖)股权投资基金合伙企业(有限合伙),C,DE,696700.0,0.5866,16753300.0,14.1046,,16753300.0
603881.SH,20260822,宁波锐鑫创业投资合伙企业(有限合伙),C,DE,10398400.0,1.2062,74736856.0,8.6696,,74736856.0
002617.SZ,20260822,李伯英,P,DE,2550000.0,0.1358,0.0,,,0.0
002617.SZ,20260822,鲁永,G,DE,8069500.0,0.4298,34000022.0,0.1304,,34000022.0
002617.SZ,20260822,露笑集团有限公司,C,DE,12914900.0,0.6878,93543697.0,4.982,,93543697.0
002421.SZ,20260822,昌都市达实企业管理(集团)有限公司,C,DE,1393200.0,0.0684,245831018.0,12.073,,245831018.0
603023.SH,20260822,陈振华,P,DE,9260600.0,1.6593,128263555.0,22.9815,,128263555.0
600025.SH,20260822,华能结构调整1号证券投资私募基金,C,IN,12501573.0,0.0671,15777573.0,0.0847,,15777573.0
688628.SH,20260821,周建华,G,DE,9543.0,0.0085,,,81.5,28632.0
300759.SZ,20260821,安义龙泰众信企业管理合伙企业(有限合伙),C,DE,1329000.0,0.0936,3004988.0,0.1688,47.95,3004988.0
300759.SZ,20260821,安义龙泰众信企业管理合伙企业(有限合伙),C,DE,1329000.0,0.0936,3004988.0,0.1688,47.95,3004988.0
301319.SZ,20260821,桑泽林,G,DE,468205.0,0.3405,0.0,,,1404948.0
301319.SZ,20260821,杜宣,P,DE,15000.0,0.0109,16155223.0,11.7481,,16155223.0
301439.SZ,20260821,威海市明博线缆科技有限公司,C,IN,662600.0,0.3616,5157594.0,2.8146,,211012479.0
920429.BJ,20260821,张炜,P,DE,244000.0,0.215,10761000.0,9.481,10.6838,10761000.0
600613.SH,20260821,张之君,P,DE,9021650.0,1.8822,0.0,,,0.0
920429.BJ,20260821,陈庆玥,P,DE,1000000.0,0.8811,0.0,,10.3534,0.0
920123.BJ,20260821,广州市白云投资基金管理有限公司-广州云美产业投资合伙企业(有限合伙),C,DE,500.0,0.0008,5576929.0,8.5819,,5576929.0
002192.SZ,20260821,张长虹,P,IN,19800.0,0.0076,4636138.0,1.7892,,4636138.0
688628.SH,20260821,张兴,G,DE,9600.0,0.0086,,,101.0,28800.0
688628.SH,20260821,周建华,G,DE,9543.0,0.0085,,,81.5,28632.0
600052.SH,20260821,东阳市新岭科技有限公司,C,DE,6809600.0,0.8066,18516239.0,2.1934,,18516239.0
300610.SZ,20260820,董晓红,G,DE,100000.0,0.0604,726923.0,0.439,10.64,3277692.0
002879.SZ,20260820,俞涛,G,IN,995000.0,0.7255,426750.0,0.3112,,1707000.0
300603.SZ,20260820,葛良娣,G,DE,96551.0,0.0258,2419773.0,0.6471,11.1923,23351290.0
300603.SZ,20260820,葛良娣,G,DE,377564.0,0.101,2516324.0,0.6729,11.5239,23447841.0
300603.SZ,20260820,葛良娣,G,DE,2083284.0,0.5571,2893888.0,0.7739,11.5399,23825405.0
920953.BJ,20260820,济南国子学投资有限公司,C,DE,851767.0,1.4223,3725732.0,6.2214,,13344233.0
688267.SH,20260820,中触媒集团有限公司,C,IN,806157.0,0.3534,64366609.0,28.2141,,64366609.0
920002.BJ,20260820,徐明,G,DE,143000.0,0.3206,484640.0,1.0867,,2367558.0
920002.BJ,20260820,徐飞,G,DE,32500.0,0.0729,95911.0,0.2151,,481146.0
920002.BJ,20260820,徐群生,G,DE,122645.0,0.275,590309.0,1.3236,,2729177.0
688180.SH,20260820,上海檀英投资合伙企业(有限合伙),C,DE,6533700.0,0.8525,38925626.0,3.7914,,38925626.0
605033.SH,20260820,郝新新,P,DE,937662.0,0.6935,995138.0,0.736,18.6506,995138.0
002879.SZ,20260820,俞涛,G,IN,995000.0,0.7255,426750.0,0.3112,,1707000.0
688508.SH,20260819,易慧敏,G,DE,30000.0,0.0227,,,96.7114,197000.0
300518.SZ,20260819,五矿国际信托有限公司-五矿信托-优质远瞻股权投资单一资金信托2号,C,DE,1219100.0,0.6115,9970562.0,5.001,,9970562.0
300618.SZ,20260819,梁建坤,G,DE,179000.0,0.0657,,,38.47,
300618.SZ,20260819,梁建坤,G,DE,245000.0,0.0899,,,37.7,
300618.SZ,20260819,梁建坤,G,DE,340000.0,0.1247,,,39.55,
300618.SZ,20260819,梁建坤,G,DE,227000.0,0.0833,,,41.0,
300618.SZ,20260819,梁建坤,G,DE,278000.0,0.102,,,41.46,
300618.SZ,20260819,梁建坤,G,DE,347000.0,0.1273,,,41.93,
300618.SZ,20260819,梁建坤,G,DE,440000.0,0.1614,,,40.05,
